NACA 6302
 1.0000000     0.0002100
 0.9928006     0.0016054
 0.9798895     0.0040725
 0.9635184     0.0071353
 0.9445469     0.0105936
 0.9234998     0.0143162
 0.9007495     0.0182055
 0.8765830     0.0221844
 0.8512328     0.0261897
 0.8248944     0.0301690
 0.7977362     0.0340779
 0.7699063     0.0378792
 0.7415373     0.0415412
 0.7127487     0.0450373
 0.6836500     0.0483456
 0.6543419     0.0514476
 0.6249182     0.0543288
 0.5954661     0.0569776
 0.5660677     0.0593854
 0.5368005     0.0615462
 0.5077378     0.0634566
 0.4789491     0.0651154
 0.4505011     0.0665234
 0.4224571     0.0676836
 0.3948782     0.0686005
 0.3678229     0.0692808
 0.3413476     0.0697322
 0.3155065     0.0699644
 0.2903524     0.0699374
 0.2659361     0.0691838
 0.2423068     0.0676479
 0.2195125     0.0654087
 0.1975998     0.0625486
 0.1766138     0.0591526
 0.1565988     0.0553075
 0.1375977     0.0511013
 0.1196525     0.0466222
 0.1028043     0.0419583
 0.0870931     0.0371965
 0.0725582     0.0324222
 0.0592379     0.0277180
 0.0471700     0.0231633
 0.0363913     0.0188337
 0.0269381     0.0148000
 0.0188458     0.0111276
 0.0121494     0.0078757
 0.0068832     0.0050965
 0.0030809     0.0028348
 0.0007756     0.0011269
 0.0000000     0.0000000
 0.0007756    -0.0005072
 0.0030809    -0.0003828
 0.0068832     0.0003468
 0.0121494     0.0016470
 0.0188458     0.0034755
 0.0269381     0.0057829
 0.0363913     0.0085136
 0.0471700     0.0116060
 0.0592379     0.0149935
 0.0725582     0.0186048
 0.0870931     0.0223643
 0.1028043     0.0261935
 0.1196525     0.0300109
 0.1375977     0.0337327
 0.1565988     0.0372739
 0.1766138     0.0405485
 0.1975998     0.0434703
 0.2195125     0.0459537
 0.2423068     0.0479141
 0.2659361     0.0492690
 0.2903524     0.0499385
 0.3155065     0.0499767
 0.3413476     0.0498491
 0.3678229     0.0495927
 0.3948782     0.0491949
 0.4224571     0.0486440
 0.4505011     0.0479295
 0.4789491     0.0470423
 0.5077378     0.0459748
 0.5368005     0.0447213
 0.5660677     0.0432778
 0.5954661     0.0416428
 0.6249182     0.0398169
 0.6543419     0.0378034
 0.6836500     0.0356086
 0.7127487     0.0332415
 0.7415373     0.0307147
 0.7699063     0.0280444
 0.7977362     0.0252507
 0.8248944     0.0223582
 0.8512328     0.0193962
 0.8765830     0.0163998
 0.9007495     0.0134109
 0.9234998     0.0104793
 0.9445469     0.0076658
 0.9635184     0.0050467
 0.9798895     0.0027235
 0.9928006     0.0008502
 1.0000000    -0.0002100
